Node	Time	EnergyCarrier	Demand
1	1	Electricity	8
1	2	Electricity	8
1	3	Electricity	9
2	1	Electricity	9
2	2	Electricity	10
2	3	Electricity	10
3	1	Electricity	16
3	2	Electricity	19
3	3	Electricity	19
4	1	Electricity	20
4	2	Electricity	21
4	3	Electricity	23
5	1	Electricity	24
5	2	Electricity	25
5	3	Electricity	23
6	1	Electricity	20
6	2	Electricity	18
6	3	Electricity	18
7	1	Electricity	11
7	2	Electricity	11
7	3	Electricity	10
8	1	Electricity	10
8	2	Electricity	9
8	3	Electricity	9
9	1	Electricity	8
9	2	Electricity	8
9	3	Electricity	9
10	1	Electricity	9
10	2	Electricity	10
10	3	Electricity	10
11	1	Electricity	16
11	2	Electricity	19
11	3	Electricity	19
12	1	Electricity	20
12	2	Electricity	21
12	3	Electricity	23
13	1	Electricity	24
13	2	Electricity	25
13	3	Electricity	23
14	1	Electricity	20
14	2	Electricity	18
14	3	Electricity	18
15	1	Electricity	11
15	2	Electricity	11
15	3	Electricity	10
1	1	LT	10
1	2	LT	9
1	3	LT	9
2	1	LT	8
2	2	LT	8
2	3	LT	9
3	1	LT	9
3	2	LT	10
3	3	LT	10
4	1	LT	16
4	2	LT	19
4	3	LT	19
5	1	LT	20
5	2	LT	21
5	3	LT	23
6	1	LT	24
6	2	LT	25
6	3	LT	23
7	1	LT	20
7	2	LT	18
7	3	LT	18
8	1	LT	11
8	2	LT	11
8	3	LT	10
9	1	LT	10
9	2	LT	9
9	3	LT	9
10	1	LT	2
10	2	LT	2
10	3	LT	3
11	1	LT	3
11	2	LT	4
11	3	LT	6
12	1	LT	6
12	2	LT	7
12	3	LT	7
13	1	LT	7
13	2	LT	7
13	3	LT	7
14	1	LT	7
14	2	LT	7
14	3	LT	6
15	1	LT	6
15	2	LT	6
15	3	LT	6
1	1	MT	5
1	2	MT	4
1	3	MT	4
2	1	MT	3
2	2	MT	3
2	3	MT	2
3	1	MT	2
3	2	MT	2
3	3	MT	3
4	1	MT	3
4	2	MT	4
4	3	MT	6
5	1	MT	6
5	2	MT	7
5	3	MT	7
6	1	MT	7
6	2	MT	7
6	3	MT	7
7	1	MT	7
7	2	MT	7
7	3	MT	6
8	1	MT	6
8	2	MT	6
8	3	MT	6
9	1	MT	5
9	2	MT	4
9	3	MT	4
10	1	MT	3
10	2	MT	3
10	3	MT	2
11	1	MT	2
11	2	MT	2
11	3	MT	3
12	1	MT	3
12	2	MT	4
12	3	MT	6
13	1	MT	6
13	2	MT	7
13	3	MT	7
14	1	MT	7
14	2	MT	7
14	3	MT	7
15	1	MT	7
15	2	MT	7
15	3	MT	6
1	1	H2	6
1	2	H2	6
1	3	H2	6
2	1	H2	5
2	2	H2	4
2	3	H2	4
3	1	H2	3
3	2	H2	3
3	3	H2	2
4	1	H2	2
4	2	H2	3
4	3	H2	4
5	1	H2	4
5	2	H2	3
5	3	H2	3
6	1	H2	5
6	2	H2	6
6	3	H2	7
7	1	H2	7
7	2	H2	7
7	3	H2	7
8	1	H2	7
8	2	H2	7
8	3	H2	6
9	1	H2	6
9	2	H2	5
9	3	H2	5
10	1	H2	5
10	2	H2	6
10	3	H2	5
11	1	H2	4
11	2	H2	3
11	3	H2	3
12	1	H2	2
12	2	H2	3
12	3	H2	4
13	1	H2	4
13	2	H2	3
13	3	H2	3
14	1	H2	5
14	2	H2	6
14	3	H2	7
15	1	H2	7
15	2	H2	7
15	3	H2	7
1	1	CH4	7
1	2	CH4	7
1	3	CH4	6
2	1	CH4	6
2	2	CH4	5
2	3	CH4	5
3	1	CH4	5
3	2	CH4	6
3	3	CH4	5
4	1	CH4	4
4	2	CH4	3
4	3	CH4	3
5	1	CH4	2
5	2	CH4	3
5	3	CH4	4
6	1	CH4	4
6	2	CH4	3
6	3	CH4	3
7	1	CH4	5
7	2	CH4	6
7	3	CH4	7
8	1	CH4	7
8	2	CH4	7
8	3	CH4	7
9	1	CH4	7
9	2	CH4	7
9	3	CH4	6
10	1	CH4	6
10	2	CH4	5
10	3	CH4	5
11	1	CH4	5
11	2	CH4	6
11	3	CH4	5
12	1	CH4	4
12	2	CH4	3
12	3	CH4	3
13	1	CH4	0
13	2	CH4	0
13	3	CH4	0
14	1	CH4	0
14	2	CH4	0
14	3	CH4	0
15	1	CH4	0
15	2	CH4	0
15	3	CH4	0
1	1	Biogas	0
1	2	Biogas	0
1	3	Biogas	0
2	1	Biogas	0
2	2	Biogas	0
2	3	Biogas	0
3	1	Biogas	0
3	2	Biogas	0
3	3	Biogas	0
4	1	Biogas	0
4	2	Biogas	0
4	3	Biogas	0
5	1	Biogas	0
5	2	Biogas	0
5	3	Biogas	0
6	1	Biogas	0
6	2	Biogas	0
6	3	Biogas	0
7	1	Biogas	0
7	2	Biogas	0
7	3	Biogas	0
8	1	Biogas	0
8	2	Biogas	0
8	3	Biogas	0
9	1	Biogas	0
9	2	Biogas	0
9	3	Biogas	0
10	1	Biogas	0
10	2	Biogas	0
10	3	Biogas	0
11	1	Biogas	0
11	2	Biogas	0
11	3	Biogas	0
12	1	Biogas	0
12	2	Biogas	0
12	3	Biogas	0
13	1	Biogas	0
13	2	Biogas	0
13	3	Biogas	0
14	1	Biogas	0
14	2	Biogas	0
14	3	Biogas	0
15	1	Biogas	0
15	2	Biogas	0
15	3	Biogas	0
